Movie Name,Year,Country,Genre,Description
Pushpa 2: The Rule,2024,India,Action/Thriller,A crime drama about smuggling and betrayal with intense action sequences
Tillu Square,2024,India,Comedy/Action,A comedy-action film following the protagonist's journey in love and life
Gunjan Saxena: The Kargil Girl,2024,India,Sports/Drama,A biographical sports drama about a pilot who participated in the Kargil War
Sita Ramam,2022,India,Romance/Drama,A romantic drama set in Kashmir with stunning visuals and emotional storyline
Ala Vaikunthapurramuloo,2020,India,Comedy/Family,A family comedy-drama about a man searching for his true identity
RRR,2022,India,Action/Period,An epic action film set in 1920s British Indian period with revolutionary themes
KGF Chapter 2,2022,India,Action,A gang empire saga beginning with a quest for power and supremacy
Bheemla Nayak,2022,India,Action/Drama,An action-packed drama about conflict between duty and morality
Kabali,2016,India,Action/Thriller,A stylish crime drama about power and revenge in the Chennai underworld
Geeta Govindam,2018,India,Romance/Comedy,A romantic comedy about a womanizer who falls in love with a shy girl
